deviceId,sampledAt,temperature,vibration,noise,failureWithinHorizon,failureAt
3,2026-01-06T04:00:00+00:00,39.42,0.281,52.42,false,
1,2026-01-06T05:00:00+00:00,36.10,0.215,49.54,false,
2,2026-01-06T05:00:00+00:00,37.80,0.250,51.04,false,
3,2026-01-06T05:00:00+00:00,39.50,0.285,52.54,false,
1,2026-01-06T06:00:00+00:00,36.18,0.219,47.50,false,
2,2026-01-06T06:00:00+00:00,37.88,0.254,49.00,false,
3,2026-01-06T06:00:00+00:00,39.58,0.289,50.50,false,
1,2026-01-06T07:00:00+00:00,36.26,0.223,47.62,false,
2,2026-01-06T07:00:00+00:00,37.96,0.258,49.12,false,
3,2026-01-06T07:00:00+00:00,39.66,0.293,50.62,false,
1,2026-01-06T08:00:00+00:00,36.34,0.227,47.74,false,
2,2026-01-06T08:00:00+00:00,38.04,0.262,49.24,false,
3,2026-01-06T08:00:00+00:00,39.74,0.297,50.74,false,
1,2026-01-06T09:00:00+00:00,36.42,0.231,47.86,false,
2,2026-01-06T09:00:00+00:00,38.12,0.266,49.36,false,
3,2026-01-06T09:00:00+00:00,39.82,0.301,50.86,false,
1,2026-01-06T10:00:00+00:00,36.50,0.235,47.98,false,
2,2026-01-06T10:00:00+00:00,38.20,0.270,49.48,false,
3,2026-01-06T10:00:00+00:00,39.90,0.305,50.98,false,
1,2026-01-06T11:00:00+00:00,36.58,0.239,48.10,false,
2,2026-01-06T11:00:00+00:00,38.28,0.274,49.60,false,
3,2026-01-06T11:00:00+00:00,39.98,0.309,51.10,false,
1,2026-01-06T12:00:00+00:00,36.66,0.195,48.22,false,
2,2026-01-06T12:00:00+00:00,38.36,0.230,49.72,false,
3,2026-01-06T12:00:00+00:00,40.06,0.265,51.22,false,
1,2026-01-06T13:00:00+00:00,36.74,0.199,48.34,false,
2,2026-01-06T13:00:00+00:00,38.44,0.234,49.84,false,
3,2026-01-06T13:00:00+00:00,40.14,0.269,51.34,false,
1,2026-01-06T14:00:00+00:00,36.82,0.203,48.46,false,
2,2026-01-06T14:00:00+00:00,38.52,0.238,49.96,false,
3,2026-01-06T14:00:00+00:00,40.22,0.273,51.46,false,
1,2026-01-06T15:00:00+00:00,36.90,0.207,48.58,false,
2,2026-01-06T15:00:00+00:00,38.60,0.242,50.08,false,
3,2026-01-06T15:00:00+00:00,40.30,0.277,51.58,false,
1,2026-01-06T16:00:00+00:00,36.98,0.211,48.70,false,
2,2026-01-06T16:00:00+00:00,38.68,0.246,50.20,false,
3,2026-01-06T16:00:00+00:00,40.38,0.281,51.70,true,2026-01-07T16:00:00+00:00
1,2026-01-06T17:00:00+00:00,37.06,0.215,48.82,false,
2,2026-01-06T17:00:00+00:00,38.76,0.250,50.32,false,
3,2026-01-06T17:00:00+00:00,41.63,0.318,53.03,true,2026-01-07T16:00:00+00:00
1,2026-01-06T18:00:00+00:00,37.14,0.219,48.94,false,
2,2026-01-06T18:00:00+00:00,38.84,0.254,50.44,false,
3,2026-01-06T18:00:00+00:00,42.87,0.354,54.36,true,2026-01-07T16:00:00+00:00
1,2026-01-06T19:00:00+00:00,37.22,0.223,49.06,false,
2,2026-01-06T19:00:00+00:00,38.92,0.258,50.56,false,
3,2026-01-06T19:00:00+00:00,44.12,0.391,55.69,true,2026-01-07T16:00:00+00:00
1,2026-01-06T20:00:00+00:00,37.30,0.227,49.18,false,
2,2026-01-06T20:00:00+00:00,39.00,0.262,50.68,false,
3,2026-01-06T20:00:00+00:00,45.37,0.427,57.01,true,2026-01-07T16:00:00+00:00
1,2026-01-06T21:00:00+00:00,37.38,0.231,49.30,false,
2,2026-01-06T21:00:00+00:00,39.08,0.266,50.80,false,
3,2026-01-06T21:00:00+00:00,46.61,0.464,58.34,true,2026-01-07T16:00:00+00:00
1,2026-01-06T22:00:00+00:00,37.46,0.235,49.42,false,
2,2026-01-06T22:00:00+00:00,39.16,0.270,50.92,false,
3,2026-01-06T22:00:00+00:00,47.86,0.500,59.67,true,2026-01-07T16:00:00+00:00
1,2026-01-06T23:00:00+00:00,37.54,0.239,49.54,false,
2,2026-01-06T23:00:00+00:00,39.24,0.274,51.04,false,
3,2026-01-06T23:00:00+00:00,49.11,0.536,61.00,true,2026-01-07T16:00:00+00:00
1,2026-01-07T00:00:00+00:00,35.70,0.195,47.50,false,
2,2026-01-07T00:00:00+00:00,37.40,0.230,49.00,false,
3,2026-01-07T00:00:00+00:00,48.43,0.525,60.17,true,2026-01-07T16:00:00+00:00
1,2026-01-07T01:00:00+00:00,35.78,0.199,47.62,false,
2,2026-01-07T01:00:00+00:00,37.48,0.234,49.12,false,
3,2026-01-07T01:00:00+00:00,49.68,0.561,61.49,true,2026-01-07T16:00:00+00:00
1,2026-01-07T02:00:00+00:00,35.86,0.203,47.74,false,
2,2026-01-07T02:00:00+00:00,37.56,0.238,49.24,false,
3,2026-01-07T02:00:00+00:00,50.93,0.598,62.82,true,2026-01-07T16:00:00+00:00
1,2026-01-07T03:00:00+00:00,35.94,0.207,47.86,false,
2,2026-01-07T03:00:00+00:00,37.64,0.242,49.36,false,
3,2026-01-07T03:00:00+00:00,52.17,0.635,64.15,true,2026-01-07T16:00:00+00:00
1,2026-01-07T04:00:00+00:00,36.02,0.211,47.98,false,
2,2026-01-07T04:00:00+00:00,37.72,0.246,49.48,false,
3,2026-01-07T04:00:00+00:00,53.42,0.671,65.48,true,2026-01-07T16:00:00+00:00
1,2026-01-07T05:00:00+00:00,36.10,0.215,48.10,false,
2,2026-01-07T05:00:00+00:00,37.80,0.250,49.60,false,
3,2026-01-07T05:00:00+00:00,54.67,0.708,66.81,true,2026-01-07T16:00:00+00:00
1,2026-01-07T06:00:00+00:00,36.18,0.219,48.22,false,
2,2026-01-07T06:00:00+00:00,37.88,0.254,49.72,false,
3,2026-01-07T06:00:00+00:00,55.91,0.744,68.14,true,2026-01-07T16:00:00+00:00
1,2026-01-07T07:00:00+00:00,36.26,0.223,48.34,false,
2,2026-01-07T07:00:00+00:00,37.96,0.258,49.84,false,
3,2026-01-07T07:00:00+00:00,57.16,0.781,69.47,true,2026-01-07T16:00:00+00:00
1,2026-01-07T08:00:00+00:00,36.34,0.227,48.46,true,2026-01-08T08:00:00+00:00
2,2026-01-07T08:00:00+00:00,38.04,0.262,49.96,false,
3,2026-01-07T08:00:00+00:00,58.41,0.817,70.79,true,2026-01-07T16:00:00+00:00
1,2026-01-07T09:00:00+00:00,37.59,0.264,49.79,true,2026-01-08T08:00:00+00:00
2,2026-01-07T09:00:00+00:00,38.12,0.266,50.08,false,
3,2026-01-07T09:00:00+00:00,59.65,0.854,72.12,true,2026-01-07T16:00:00+00:00
1,2026-01-07T10:00:00+00:00,38.83,0.300,51.12,true,2026-01-08T08:00:00+00:00
2,2026-01-07T10:00:00+00:00,38.20,0.270,50.20,false,
3,2026-01-07T10:00:00+00:00,60.90,0.890,73.45,true,2026-01-07T16:00:00+00:00
1,2026-01-07T11:00:00+00:00,40.08,0.337,52.45,true,2026-01-08T08:00:00+00:00
2,2026-01-07T11:00:00+00:00,38.28,0.274,50.32,false,
3,2026-01-07T11:00:00+00:00,62.15,0.926,74.78,true,2026-01-07T16:00:00+00:00
1,2026-01-07T12:00:00+00:00,41.33,0.325,53.77,true,2026-01-08T08:00:00+00:00
2,2026-01-07T12:00:00+00:00,38.36,0.230,50.44,false,
3,2026-01-07T12:00:00+00:00,63.39,0.915,76.11,true,2026-01-07T16:00:00+00:00
1,2026-01-07T13:00:00+00:00,42.57,0.362,55.10,true,2026-01-08T08:00:00+00:00
2,2026-01-07T13:00:00+00:00,38.44,0.234,50.56,false,
3,2026-01-07T13:00:00+00:00,64.64,0.952,77.44,true,2026-01-07T16:00:00+00:00
1,2026-01-07T14:00:00+00:00,43.82,0.398,56.43,true,2026-01-08T08:00:00+00:00
2,2026-01-07T14:00:00+00:00,38.52,0.238,50.68,false,
3,2026-01-07T14:00:00+00:00,65.89,0.988,78.76,true,2026-01-07T16:00:00+00:00
1,2026-01-07T15:00:00+00:00,45.07,0.435,57.76,true,2026-01-08T08:00:00+00:00
2,2026-01-07T15:00:00+00:00,38.60,0.242,50.80,false,
3,2026-01-07T15:00:00+00:00,67.13,1.025,80.09,true,2026-01-07T16:00:00+00:00
1,2026-01-07T16:00:00+00:00,46.31,0.471,59.09,true,2026-01-08T08:00:00+00:00
2,2026-01-07T16:00:00+00:00,38.68,0.246,50.92,false,
3,2026-01-07T16:00:00+00:00,68.38,1.061,81.42,true,2026-01-07T16:00:00+00:00
1,2026-01-07T17:00:00+00:00,47.56,0.507,60.41,true,2026-01-08T08:00:00+00:00
2,2026-01-07T17:00:00+00:00,38.76,0.250,51.04,false,
3,2026-01-07T17:00:00+00:00,40.46,0.285,52.54,false,
1,2026-01-07T18:00:00+00:00,48.81,0.544,59.58,true,2026-01-08T08:00:00+00:00
2,2026-01-07T18:00:00+00:00,38.84,0.254,49.00,false,
3,2026-01-07T18:00:00+00:00,40.54,0.289,50.50,false,
1,2026-01-07T19:00:00+00:00,50.05,0.581,60.91,true,2026-01-08T08:00:00+00:00
2,2026-01-07T19:00:00+00:00,38.92,0.258,49.12,false,
3,2026-01-07T19:00:00+00:00,40.62,0.293,50.62,false,
1,2026-01-07T20:00:00+00:00,51.30,0.617,62.24,true,2026-01-08T08:00:00+00:00
2,2026-01-07T20:00:00+00:00,39.00,0.262,49.24,false,
3,2026-01-07T20:00:00+00:00,40.70,0.297,50.74,false,
1,2026-01-07T21:00:00+00:00,52.55,0.653,63.57,true,2026-01-08T08:00:00+00:00
2,2026-01-07T21:00:00+00:00,39.08,0.266,49.36,false,
3,2026-01-07T21:00:00+00:00,40.78,0.301,50.86,false,
1,2026-01-07T22:00:00+00:00,53.79,0.690,64.90,true,2026-01-08T08:00:00+00:00
2,2026-01-07T22:00:00+00:00,39.16,0.270,49.48,true,2026-01-08T22:00:00+00:00
3,2026-01-07T22:00:00+00:00,40.86,0.305,50.98,false,
1,2026-01-07T23:00:00+00:00,55.04,0.727,66.22,true,2026-01-08T08:00:00+00:00
2,2026-01-07T23:00:00+00:00,40.41,0.306,50.81,true,2026-01-08T22:00:00+00:00
3,2026-01-07T23:00:00+00:00,40.94,0.309,51.10,false,
1,2026-01-08T00:00:00+00:00,54.37,0.715,67.55,true,2026-01-08T08:00:00+00:00
2,2026-01-08T00:00:00+00:00,39.73,0.295,52.14,true,2026-01-08T22:00:00+00:00
3,2026-01-08T00:00:00+00:00,39.10,0.265,51.22,false,
1,2026-01-08T01:00:00+00:00,55.61,0.752,68.88,true,2026-01-08T08:00:00+00:00
2,2026-01-08T01:00:00+00:00,40.98,0.332,53.47,true,2026-01-08T22:00:00+00:00
3,2026-01-08T01:00:00+00:00,39.18,0.269,51.34,false,
1,2026-01-08T02:00:00+00:00,56.86,0.788,70.21,true,2026-01-08T08:00:00+00:00
2,2026-01-08T02:00:00+00:00,42.23,0.368,54.79,true,2026-01-08T22:00:00+00:00
3,2026-01-08T02:00:00+00:00,39.26,0.273,51.46,false,
1,2026-01-08T03:00:00+00:00,58.11,0.825,71.54,true,2026-01-08T08:00:00+00:00
2,2026-01-08T03:00:00+00:00,43.47,0.405,56.12,true,2026-01-08T22:00:00+00:00
3,2026-01-08T03:00:00+00:00,39.34,0.277,51.58,false,
1,2026-01-08T04:00:00+00:00,59.35,0.861,72.87,true,2026-01-08T08:00:00+00:00
2,2026-01-08T04:00:00+00:00,44.72,0.441,57.45,true,2026-01-08T22:00:00+00:00
3,2026-01-08T04:00:00+00:00,39.42,0.281,51.70,false,
1,2026-01-08T05:00:00+00:00,60.60,0.897,74.19,true,2026-01-08T08:00:00+00:00
2,2026-01-08T05:00:00+00:00,45.97,0.478,58.78,true,2026-01-08T22:00:00+00:00
3,2026-01-08T05:00:00+00:00,39.50,0.285,51.82,false,
1,2026-01-08T06:00:00+00:00,61.85,0.934,75.52,true,2026-01-08T08:00:00+00:00
2,2026-01-08T06:00:00+00:00,47.21,0.514,60.11,true,2026-01-08T22:00:00+00:00
3,2026-01-08T06:00:00+00:00,39.58,0.289,51.94,false,
1,2026-01-08T07:00:00+00:00,63.09,0.971,76.85,true,2026-01-08T08:00:00+00:00
2,2026-01-08T07:00:00+00:00,48.46,0.550,61.44,true,2026-01-08T22:00:00+00:00
3,2026-01-08T07:00:00+00:00,39.66,0.293,52.06,false,
1,2026-01-08T08:00:00+00:00,64.34,1.007,78.18,true,2026-01-08T08:00:00+00:00
2,2026-01-08T08:00:00+00:00,49.71,0.587,62.76,true,2026-01-08T22:00:00+00:00
3,2026-01-08T08:00:00+00:00,39.74,0.297,52.18,false,
1,2026-01-08T09:00:00+00:00,36.42,0.231,49.30,false,
2,2026-01-08T09:00:00+00:00,50.95,0.623,64.09,true,2026-01-08T22:00:00+00:00
3,2026-01-08T09:00:00+00:00,39.82,0.301,52.30,false,
1,2026-01-08T10:00:00+00:00,36.50,0.235,49.42,false,
2,2026-01-08T10:00:00+00:00,52.20,0.660,65.42,true,2026-01-08T22:00:00+00:00
3,2026-01-08T10:00:00+00:00,39.90,0.305,52.42,false,
1,2026-01-08T11:00:00+00:00,36.58,0.239,49.54,false,
2,2026-01-08T11:00:00+00:00,53.45,0.697,66.75,true,2026-01-08T22:00:00+00:00
3,2026-01-08T11:00:00+00:00,39.98,0.309,52.54,false,
1,2026-01-08T12:00:00+00:00,36.66,0.195,47.50,false,
2,2026-01-08T12:00:00+00:00,54.69,0.685,65.92,true,2026-01-08T22:00:00+00:00
3,2026-01-08T12:00:00+00:00,40.06,0.265,50.50,false,
1,2026-01-08T13:00:00+00:00,36.74,0.199,47.62,false,
2,2026-01-08T13:00:00+00:00,55.94,0.722,67.25,true,2026-01-08T22:00:00+00:00
3,2026-01-08T13:00:00+00:00,40.14,0.269,50.62,false,
1,2026-01-08T14:00:00+00:00,36.82,0.203,47.74,false,
2,2026-01-08T14:00:00+00:00,57.19,0.758,68.57,true,2026-01-08T22:00:00+00:00
3,2026-01-08T14:00:00+00:00,40.22,0.273,50.74,false,
1,2026-01-08T15:00:00+00:00,36.90,0.207,47.86,false,
2,2026-01-08T15:00:00+00:00,58.43,0.795,69.90,true,2026-01-08T22:00:00+00:00
3,2026-01-08T15:00:00+00:00,40.30,0.277,50.86,false,
1,2026-01-08T16:00:00+00:00,36.98,0.211,47.98,false,
2,2026-01-08T16:00:00+00:00,59.68,0.831,71.23,true,2026-01-08T22:00:00+00:00
3,2026-01-08T16:00:00+00:00,40.38,0.281,50.98,false,
1,2026-01-08T17:00:00+00:00,37.06,0.215,48.10,false,
2,2026-01-08T17:00:00+00:00,60.93,0.867,72.56,true,2026-01-08T22:00:00+00:00
3,2026-01-08T17:00:00+00:00,40.46,0.285,51.10,false,
1,2026-01-08T18:00:00+00:00,37.14,0.219,48.22,false,
2,2026-01-08T18:00:00+00:00,62.17,0.904,73.89,true,2026-01-08T22:00:00+00:00
3,2026-01-08T18:00:00+00:00,40.54,0.289,51.22,false,
1,2026-01-08T19:00:00+00:00,37.22,0.223,48.34,false,
2,2026-01-08T19:00:00+00:00,63.42,0.941,75.22,true,2026-01-08T22:00:00+00:00
3,2026-01-08T19:00:00+00:00,40.62,0.293,51.34,false,
1,2026-01-08T20:00:00+00:00,37.30,0.227,48.46,false,
2,2026-01-08T20:00:00+00:00,64.67,0.977,76.54,true,2026-01-08T22:00:00+00:00
3,2026-01-08T20:00:00+00:00,40.70,0.297,51.46,false,
1,2026-01-08T21:00:00+00:00,37.38,0.231,48.58,false,
2,2026-01-08T21:00:00+00:00,65.91,1.014,77.87,true,2026-01-08T22:00:00+00:00
3,2026-01-08T21:00:00+00:00,40.78,0.301,51.58,false,
1,2026-01-08T22:00:00+00:00,37.46,0.235,48.70,false,
2,2026-01-08T22:00:00+00:00,67.16,1.050,79.20,true,2026-01-08T22:00:00+00:00
3,2026-01-08T22:00:00+00:00,40.86,0.305,51.70,true,2026-01-09T22:00:00+00:00
1,2026-01-08T23:00:00+00:00,37.54,0.239,48.82,false,
2,2026-01-08T23:00:00+00:00,39.24,0.274,50.32,false,
3,2026-01-08T23:00:00+00:00,42.11,0.342,53.03,true,2026-01-09T22:00:00+00:00
1,2026-01-09T00:00:00+00:00,35.70,0.195,48.94,false,
2,2026-01-09T00:00:00+00:00,37.40,0.230,50.44,false,
3,2026-01-09T00:00:00+00:00,41.43,0.330,54.36,true,2026-01-09T22:00:00+00:00
1,2026-01-09T01:00:00+00:00,35.78,0.199,49.06,false,
2,2026-01-09T01:00:00+00:00,37.48,0.234,50.56,false,
3,2026-01-09T01:00:00+00:00,42.68,0.367,55.69,true,2026-01-09T22:00:00+00:00
1,2026-01-09T02:00:00+00:00,35.86,0.203,49.18,false,
2,2026-01-09T02:00:00+00:00,37.56,0.238,50.68,false,
3,2026-01-09T02:00:00+00:00,43.93,0.403,57.01,true,2026-01-09T22:00:00+00:00
1,2026-01-09T03:00:00+00:00,35.94,0.207,49.30,false,
2,2026-01-09T03:00:00+00:00,37.64,0.242,50.80,false,
3,2026-01-09T03:00:00+00:00,45.17,0.440,58.34,true,2026-01-09T22:00:00+00:00
1,2026-01-09T04:00:00+00:00,36.02,0.211,49.42,false,
2,2026-01-09T04:00:00+00:00,37.72,0.246,50.92,false,
3,2026-01-09T04:00:00+00:00,46.42,0.476,59.67,true,2026-01-09T22:00:00+00:00
1,2026-01-09T05:00:00+00:00,36.10,0.215,49.54,false,
2,2026-01-09T05:00:00+00:00,37.80,0.250,51.04,false,
3,2026-01-09T05:00:00+00:00,47.67,0.513,61.00,true,2026-01-09T22:00:00+00:00
1,2026-01-09T06:00:00+00:00,36.18,0.219,47.50,false,
2,2026-01-09T06:00:00+00:00,37.88,0.254,49.00,false,
3,2026-01-09T06:00:00+00:00,48.91,0.549,60.17,true,2026-01-09T22:00:00+00:00
1,2026-01-09T07:00:00+00:00,36.26,0.223,47.62,false,
2,2026-01-09T07:00:00+00:00,37.96,0.258,49.12,false,
3,2026-01-09T07:00:00+00:00,50.16,0.586,61.49,true,2026-01-09T22:00:00+00:00
1,2026-01-09T08:00:00+00:00,36.34,0.227,47.74,false,
2,2026-01-09T08:00:00+00:00,38.04,0.262,49.24,false,
3,2026-01-09T08:00:00+00:00,51.41,0.622,62.82,true,2026-01-09T22:00:00+00:00
1,2026-01-09T09:00:00+00:00,36.42,0.231,47.86,false,
2,2026-01-09T09:00:00+00:00,38.12,0.266,49.36,false,
3,2026-01-09T09:00:00+00:00,52.65,0.659,64.15,true,2026-01-09T22:00:00+00:00
1,2026-01-09T10:00:00+00:00,36.50,0.235,47.98,true,2026-01-10T10:00:00+00:00
2,2026-01-09T10:00:00+00:00,38.20,0.270,49.48,false,
3,2026-01-09T10:00:00+00:00,53.90,0.695,65.48,true,2026-01-09T22:00:00+00:00
1,2026-01-09T11:00:00+00:00,37.75,0.271,49.31,true,2026-01-10T10:00:00+00:00
2,2026-01-09T11:00:00+00:00,38.28,0.274,49.60,false,
3,2026-01-09T11:00:00+00:00,55.15,0.732,66.81,true,2026-01-09T22:00:00+00:00
1,2026-01-09T12:00:00+00:00,38.99,0.260,50.64,true,2026-01-10T10:00:00+00:00
2,2026-01-09T12:00:00+00:00,38.36,0.230,49.72,false,
3,2026-01-09T12:00:00+00:00,56.39,0.720,68.14,true,2026-01-09T22:00:00+00:00
1,2026-01-09T13:00:00+00:00,40.24,0.296,51.97,true,2026-01-10T10:00:00+00:00
2,2026-01-09T13:00:00+00:00,38.44,0.234,49.84,false,
3,2026-01-09T13:00:00+00:00,57.64,0.757,69.47,true,2026-01-09T22:00:00+00:00
1,2026-01-09T14:00:00+00:00,41.49,0.333,53.29,true,2026-01-10T10:00:00+00:00
2,2026-01-09T14:00:00+00:00,38.52,0.238,49.96,false,
3,2026-01-09T14:00:00+00:00,58.89,0.793,70.79,true,2026-01-09T22:00:00+00:00
1,2026-01-09T15:00:00+00:00,42.73,0.370,54.62,true,2026-01-10T10:00:00+00:00
2,2026-01-09T15:00:00+00:00,38.60,0.242,50.08,false,
3,2026-01-09T15:00:00+00:00,60.13,0.830,72.12,true,2026-01-09T22:00:00+00:00
1,2026-01-09T16:00:00+00:00,43.98,0.406,55.95,true,2026-01-10T10:00:00+00:00
2,2026-01-09T16:00:00+00:00,38.68,0.246,50.20,true,2026-01-10T16:00:00+00:00
3,2026-01-09T16:00:00+00:00,61.38,0.866,73.45,true,2026-01-09T22:00:00+00:00
1,2026-01-09T17:00:00+00:00,45.23,0.443,57.28,true,2026-01-10T10:00:00+00:00
2,2026-01-09T17:00:00+00:00,39.93,0.282,51.53,true,2026-01-10T16:00:00+00:00
3,2026-01-09T17:00:00+00:00,62.63,0.902,74.78,true,2026-01-09T22:00:00+00:00
1,2026-01-09T18:00:00+00:00,46.47,0.479,58.61,true,2026-01-10T10:00:00+00:00
2,2026-01-09T18:00:00+00:00,41.17,0.319,52.86,true,2026-01-10T16:00:00+00:00
3,2026-01-09T18:00:00+00:00,63.87,0.939,76.11,true,2026-01-09T22:00:00+00:00
1,2026-01-09T19:00:00+00:00,47.72,0.515,59.94,true,2026-01-10T10:00:00+00:00
2,2026-01-09T19:00:00+00:00,42.42,0.356,54.19,true,2026-01-10T16:00:00+00:00
3,2026-01-09T19:00:00+00:00,65.12,0.976,77.44,true,2026-01-09T22:00:00+00:00
1,2026-01-09T20:00:00+00:00,48.97,0.552,61.26,true,2026-01-10T10:00:00+00:00
2,2026-01-09T20:00:00+00:00,43.67,0.392,55.51,true,2026-01-10T16:00:00+00:00
3,2026-01-09T20:00:00+00:00,66.37,1.012,78.76,true,2026-01-09T22:00:00+00:00
1,2026-01-09T21:00:00+00:00,50.21,0.589,62.59,true,2026-01-10T10:00:00+00:00
2,2026-01-09T21:00:00+00:00,44.91,0.428,56.84,true,2026-01-10T16:00:00+00:00
3,2026-01-09T21:00:00+00:00,67.61,1.049,80.09,true,2026-01-09T22:00:00+00:00
1,2026-01-09T22:00:00+00:00,51.46,0.625,63.92,true,2026-01-10T10:00:00+00:00
2,2026-01-09T22:00:00+00:00,46.16,0.465,58.17,true,2026-01-10T16:00:00+00:00
3,2026-01-09T22:00:00+00:00,68.86,1.085,81.42,true,2026-01-09T22:00:00+00:00
1,2026-01-09T23:00:00+00:00,52.71,0.661,65.25,true,2026-01-10T10:00:00+00:00
2,2026-01-09T23:00:00+00:00,47.41,0.502,59.50,true,2026-01-10T16:00:00+00:00
3,2026-01-09T23:00:00+00:00,40.94,0.309,52.54,false,
1,2026-01-10T00:00:00+00:00,52.03,0.650,64.42,true,2026-01-10T10:00:00+00:00
2,2026-01-10T00:00:00+00:00,46.73,0.490,58.67,true,2026-01-10T16:00:00+00:00
3,2026-01-10T00:00:00+00:00,39.10,0.265,50.50,false,
1,2026-01-10T01:00:00+00:00,53.28,0.687,65.75,true,2026-01-10T10:00:00+00:00
2,2026-01-10T01:00:00+00:00,47.98,0.526,59.99,true,2026-01-10T16:00:00+00:00
3,2026-01-10T01:00:00+00:00,39.18,0.269,50.62,false,
1,2026-01-10T02:00:00+00:00,54.53,0.723,67.07,true,2026-01-10T10:00:00+00:00
2,2026-01-10T02:00:00+00:00,49.23,0.563,61.32,true,2026-01-10T16:00:00+00:00
3,2026-01-10T02:00:00+00:00,39.26,0.273,50.74,false,
1,2026-01-10T03:00:00+00:00,55.77,0.760,68.40,true,2026-01-10T10:00:00+00:00
2,2026-01-10T03:00:00+00:00,50.47,0.600,62.65,true,2026-01-10T16:00:00+00:00
3,2026-01-10T03:00:00+00:00,39.34,0.277,50.86,false,
1,2026-01-10T04:00:00+00:00,57.02,0.796,69.73,true,2026-01-10T10:00:00+00:00
2,2026-01-10T04:00:00+00:00,51.72,0.636,63.98,true,2026-01-10T16:00:00+00:00
3,2026-01-10T04:00:00+00:00,39.42,0.281,50.98,false,
1,2026-01-10T05:00:00+00:00,58.27,0.832,71.06,true,2026-01-10T10:00:00+00:00
2,2026-01-10T05:00:00+00:00,52.97,0.672,65.31,true,2026-01-10T16:00:00+00:00
3,2026-01-10T05:00:00+00:00,39.50,0.285,51.10,false,
1,2026-01-10T06:00:00+00:00,59.51,0.869,72.39,true,2026-01-10T10:00:00+00:00
2,2026-01-10T06:00:00+00:00,54.21,0.709,66.64,true,2026-01-10T16:00:00+00:00
3,2026-01-10T06:00:00+00:00,39.58,0.289,51.22,false,
1,2026-01-10T07:00:00+00:00,60.76,0.905,73.72,true,2026-01-10T10:00:00+00:00
2,2026-01-10T07:00:00+00:00,55.46,0.746,67.97,true,2026-01-10T16:00:00+00:00
3,2026-01-10T07:00:00+00:00,39.66,0.293,51.34,false,
1,2026-01-10T08:00:00+00:00,62.01,0.942,75.04,true,2026-01-10T10:00:00+00:00
2,2026-01-10T08:00:00+00:00,56.71,0.782,69.29,true,2026-01-10T16:00:00+00:00
3,2026-01-10T08:00:00+00:00,39.74,0.297,51.46,false,
1,2026-01-10T09:00:00+00:00,63.25,0.979,76.37,true,2026-01-10T10:00:00+00:00
2,2026-01-10T09:00:00+00:00,57.95,0.819,70.62,true,2026-01-10T16:00:00+00:00
3,2026-01-10T09:00:00+00:00,39.82,0.301,51.58,false,
1,2026-01-10T10:00:00+00:00,64.50,1.015,77.70,true,2026-01-10T10:00:00+00:00
2,2026-01-10T10:00:00+00:00,59.20,0.855,71.95,true,2026-01-10T16:00:00+00:00
3,2026-01-10T10:00:00+00:00,39.90,0.305,51.70,false,
1,2026-01-10T11:00:00+00:00,36.58,0.239,48.82,false,
2,2026-01-10T11:00:00+00:00,60.45,0.891,73.28,true,2026-01-10T16:00:00+00:00
3,2026-01-10T11:00:00+00:00,39.98,0.309,51.82,false,
1,2026-01-10T12:00:00+00:00,36.66,0.195,48.94,false,
2,2026-01-10T12:00:00+00:00,61.69,0.880,74.61,true,2026-01-10T16:00:00+00:00
3,2026-01-10T12:00:00+00:00,40.06,0.265,51.94,false,
1,2026-01-10T13:00:00+00:00,36.74,0.199,49.06,false,
2,2026-01-10T13:00:00+00:00,62.94,0.916,75.94,true,2026-01-10T16:00:00+00:00
3,2026-01-10T13:00:00+00:00,40.14,0.269,52.06,false,
1,2026-01-10T14:00:00+00:00,36.82,0.203,49.18,false,
2,2026-01-10T14:00:00+00:00,64.19,0.953,77.26,true,2026-01-10T16:00:00+00:00
3,2026-01-10T14:00:00+00:00,40.22,0.273,52.18,false,
1,2026-01-10T15:00:00+00:00,36.90,0.207,49.30,false,
2,2026-01-10T15:00:00+00:00,65.43,0.990,78.59,true,2026-01-10T16:00:00+00:00
3,2026-01-10T15:00:00+00:00,40.30,0.277,52.30,false,
1,2026-01-10T16:00:00+00:00,36.98,0.211,49.42,false,
2,2026-01-10T16:00:00+00:00,66.68,1.026,79.92,true,2026-01-10T16:00:00+00:00
3,2026-01-10T16:00:00+00:00,40.38,0.281,52.42,false,
1,2026-01-10T17:00:00+00:00,37.06,0.215,49.54,false,
2,2026-01-10T17:00:00+00:00,38.76,0.250,51.04,false,
3,2026-01-10T17:00:00+00:00,40.46,0.285,52.54,false,
1,2026-01-10T18:00:00+00:00,37.14,0.219,47.50,false,
2,2026-01-10T18:00:00+00:00,38.84,0.254,49.00,false,
3,2026-01-10T18:00:00+00:00,40.54,0.289,50.50,false,
1,2026-01-10T19:00:00+00:00,37.22,0.223,47.62,false,
2,2026-01-10T19:00:00+00:00,38.92,0.258,49.12,false,
3,2026-01-10T19:00:00+00:00,40.62,0.293,50.62,false,
1,2026-01-10T20:00:00+00:00,37.30,0.227,47.74,false,
2,2026-01-10T20:00:00+00:00,39.00,0.262,49.24,false,
3,2026-01-10T20:00:00+00:00,40.70,0.297,50.74,false,
1,2026-01-10T21:00:00+00:00,37.38,0.231,47.86,false,
2,2026-01-10T21:00:00+00:00,39.08,0.266,49.36,false,
3,2026-01-10T21:00:00+00:00,40.78,0.301,50.86,false,
